"Story","Title","Result","Date","Stability","Duration (s)"
"Verify HomePage","Customer can navigate to Login Page successfully","SUCCESS","2019-12-09T22:28:46.519+07:00[Asia/Ho_Chi_Minh]","0.0","28.67"
"Verify HomePage","Customer can navigate to Search Page successfully","SUCCESS","2019-12-09T22:29:16.033+07:00[Asia/Ho_Chi_Minh]","0.0","22.13"
"Verify Login Features","Customer can login successfully with valid User Email and Password","SUCCESS","2019-12-09T22:32:14.359+07:00[Asia/Ho_Chi_Minh]","0.0","35.41"
"Verify Search Features","Customer Can Search With Filter","SUCCESS","2019-12-09T22:36:33.103+07:00[Asia/Ho_Chi_Minh]","0.0","54.92"
"Verify Search Features","Verify Sort feature in Search Result","SUCCESS","2019-12-09T22:37:28.161+07:00[Asia/Ho_Chi_Minh]","0.0","56.2"
