"Story","Title","Result","Date","Stability","Duration (s)"
"Verify Login Features","Cursor is focused on User Email field by default","FAILURE","2019-12-09T12:49:23.607+07:00[Asia/Ho_Chi_Minh]","0.0","14.32"
"Verify Login Features","Customer can login successfully with valid User Email and Password","FAILURE","2019-12-09T12:49:38.426+07:00[Asia/Ho_Chi_Minh]","0.0","45.24"
